"국가별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"대한민국","- 정부에 의견을 반영할 권리가 있음[%]","%","","","","","","","","55.06285","","",
"대한민국","- 정부에 의견을 반영할 권리가 없음[%]","%","","","","","","","","29.15095","","",
"대한민국","- 투표율[%]","%","","","","77.2","","","","","77.08","",
"대한민국","- 공기 오염에 노출[%]","%","99.74","99.74","99.74","99.74","99.74","99.74","99.74","","","",
"대한민국","- 살인사건[명]","명","1","1",".9",".8",".8",".8",".7","","","",
"대한민국","- 밤에 안전하다고 느끼는 정도[%]","%","66.19602","66.19602","66.19602","73.98151","73.98151","73.98151","84.368","84.368","79.48689","79.48689",
"대한민국","- 밤에 안전하지 않다고 느끼는 정도[%]","%","36.29326","29.28809","32.36926","29.06033","24.75808","22.36116","15.49415","14.95394","","",
"대한민국","- 교통사고 사망[명]","명","9.38387","9.05813","8.3799","8.14806","7.32658","6.47662","5.95011","5.63534","5.2975","",
"대한민국","- 삶의 만족도[척도]","척도","5.7","5.8","5.9","6","6.1","6","6","6.3","6.5","",
"대한민국","- 삶의 만족도 점수 5 이하[%]","%","19.3","17.4","15.8","12.3","12.2","13.7","13.2","8.5","6.7","",
"대한민국","- 삶의 만족도 점수 상위 5분위[5분위]","5분위","2.59375","2.57576","2.4","2.18421","2.21053","2.21053","2.025","1.86047","1.84444","",
"대한민국","- 부정적인 감정 균형[%]","%","17.70713","17.70713","17.70713","17.06169","17.06169","17.06169","15.61689","15.61689","14.8538","14.8538",
"이스라엘","- 평균 가계 가처분소득 상위 5분위[5분위]","5분위","7.4","7.1","6.5","6.5","6.5","6.4","6.1","6.6","","",
"이스라엘","- 상대적 소득 빈곤선 이하의 가계 가처분소득[%]","%","18.6","19.5","17.7","17.9","16.9","17.3","16.9","17.8","","",
"이스라엘","- 생계 유지를 위한 어려움[%]","%","","","","","","","","18.4","","",
"이스라엘","- 고용률[%]","%","75.525","76.202","76.611","77.066","77.495","77.695","76.175","75.711","78.583","78.911",
"이스라엘","- 성별 임금 격차[%]","%","20.10814","20.43919","21.59333","21.79179","22.65919","24.31887","21.55833","25.35751","20.84615","",
"이스라엘","- 장기 실업률[%]","%",".63725",".61198",".66143",".497",".28601",".22272",".21991",".48667",".3399","",
"이스라엘","- 취업, 교육 또는 훈련을 받지 않는 청소년[%]","%","13.09433","13.59613","12.54229","12.1696","12.73777","12.88102","13.1124","16.2245","12.95987","",
"이스라엘","- 노동 시장 불안정성[%]","%","4.77422","4.59912","4.62661","","","","","","","",
"이스라엘","- 직무 부담[%]","%","","25.11792","","","","","","","","",
"이스라엘","- 장시간의 유급 근무[%]","%","14.74","14.94","14.85","15.45","16.26","15.45","14.12","14.07","14.64","",
"이스라엘","- 연간 평균 총 소득[US$]","US$","36112","37213","38698","39898","41059","41964","42130","44338.86887","44155.94542","",
"이스라엘","- 총 중위 소득의 2/3 미만을 버는 전일제 근로자[%]","%","23.46501","23.79282","23.13724","22.62698","22.40826","21.25818","25.13816","23.38848","23.38438","",
"이스라엘","- 상위 소득 10분위의 전일제 근로자[10분위]","10분위","5.10487","5.10067","4.75667","4.86171","4.7159","4.59104","4.84877","4.63094","4.62631","",
"이스라엘","- 시간 사용에 대한 만족도[척도]","척도","","","","","","","","6.03568","","",
"이스라엘","- 시간 사용에 대한 만족도 점수 5 이하[%]","%","","","","","","","","24.29","","",
"이스라엘","- 시간 사용에 대한 만족도 상위 5분위[5분위]","5분위","","","","","","","","4.2381","","",
"이스라엘","- 출생 시 기대 수명[년]","년","82.2","82.2","82.5","82.7","82.9","82.9","82.7","82.6","82.9","",
"이스라엘","- 긍정적인 건강 인식[%]","%","84.3","83.9","83.6","74.1","73.9","73.8","75.7","73.8","","",
"이스라엘","- 부정적인 건강 인식[%]","%","15.5","16","16.1","10.9","10.8","11","9.4","10.9","","",
"이스라엘","- 자살, 알코올, 약물로 인한 사망[명]","명","8.60383","8.59027","8.78543","8.74212","8.13805","9.27917","8.03807","","","",
"이스라엘","- 학생 독서 기술[점수]","점수","","478.96064","","","470.41518","","","","473.83","",
"이스라엘","- 낮은 독서 기술을 가진 학생[%]","%","","","","","22.08417","","","","21.33007","",
"이스라엘","- 독서 점수 상위 10분위[10분위]","10분위","","","","","2.12131","","","","2.05531","",
"이스라엘","- 학생 수학 기술[점수]","점수","","469.66945","","","463.03455","","","","457.9","",
"이스라엘","- 낮은 수학 기술을 가진 학생[%]","%","","","","","22.08417","","","","21.33007","",
"이스라엘","- 수학 점수 상위 10분위[10분위]","10분위","","","","","1.904","","","","1.88477","",
"이스라엘","- 학생 과학 기술[점수]","점수","","466.55281","","","462.19663","","","","464.75","",
"이스라엘","- 낮은 과학 기술을 가진 학생[%]","%","","","","","22.08417","","","","21.33007","",
"이스라엘","- 과학 점수 상위 10분위[10분위]","10분위","","","","","1.93409","","","","1.8898","",
"이스라엘","- 성인 수리력 기술[점수]","점수","251.04995","","","","","","","","","",
"이스라엘","- 낮은 수리력 기술을 가진 성인[%]","%","9.21612","","","","","","","","","",
"이스라엘","- 성인 수리력 점수 상위 10분위[10분위]","10분위","1.93431","","","","","","","","","",
"이스라엘","- 성인 문해력 기술[점수]","점수","255.23751","","","","","","","","","",
"이스라엘","- 낮은 문해력 기술을 가진 성인[%]","%","5.40367","","","","","","","","","",
"이스라엘","- 성인 문해력 점수 상위 10분위[10분위]","10분위","1.75759","","","","","","","","","",
"이스라엘","- 사회적 지원[%]","%","88.09536","88.09536","88.09536","92.40156","92.40156","92.40156","93.78277","93.78277","95.2772","95.2772",
"이스라엘","- 사회적 지원 부족[%]","%","10.85402","13.47785","10.78425","8.2445","8.86046","5.36613","4.07096","8.2465","","",
"이스라엘","- 개인 관계에 대한 만족도[척도]","척도","","","","","","","","8.34553","","",
"이스라엘","- 개인 관계에 대한 만족도 점수 5 이하[%]","%","","","","","","","","3.35","","",
"이스라엘","- 개인 관계 만족도 상위 5분위[5분위]","5분위","","","","","","","","1.72414","","",
"이스라엘","- 정부에 의견을 반영할 권리가 있음[%]","%","29.29671","","","","","","","","","",
"이스라엘","- 정부에 의견을 반영할 권리가 없음[%]","%","55.91221","","","","","","","","","",
"이스라엘","- 투표율[%]","%","","72.34","","","","69.83","71.52","67.44","70.63","",
"이스라엘","- 공기 오염에 노출[%]","%","100","100","100","100","100","100","100","","","",
"이스라엘","- 살인사건[명]","명","1.7","1.8","1.5","1.6","1.5","1.7","1.6","","","",
"이스라엘","- 밤에 안전하다고 느끼는 정도[%]","%","71.88611","71.88611","71.88611","77.81271","77.81271","77.81271","79.79496","79.79496","76.57566","76.57566",
"이스라엘","- 밤에 안전하지 않다고 느끼는 정도[%]","%","20.91665","31.16728","30.25549","22.93893","23.77703","18.7677","17.79671","21.80374","","",
"이스라엘","- 교통사고 사망[명]","명","3.88286","4.20635","4.36899","4.17752","3.55744","3.92088","3.30979","3.85064","3.63277","",
"이스라엘","- 삶의 만족도[척도]","척도","","","","","","","","8.0294","","",
"이스라엘","- 삶의 만족도 점수 5 이하[%]","%","","","","","","","","4.64","","",
"이스라엘","- 삶의 만족도 점수 상위 5분위[5분위]","5분위","","","","","","","","1.75439","","",
"이스라엘","- 부정적인 감정 균형[%]","%","16.87045","16.87045","16.87045","16.86711","16.86711","16.86711","14.19672","14.19672","26.448","26.448",
"일본","- 가계 및 비영리단체 1인당 순조정가처분소득[US$]","US$","29337","29698","30163","30420","30660","31124","32366","31768","31709","",
"일본","- 평균 가계 가처분소득 상위 5분위[5분위]","5분위","","","","","6.2","","","6.4","","",
"일본","- 중위 순자산[US$]","US$","175802","","","","","125272","","","","",
"일본","- 자산 상위 10분위[%]","%","41.01643","","","","","47.30085","","","","",
"일본","- 상대적 소득 빈곤선 이하의 가계 가처분소득[%]","%","","","","","15.7","","","15.4","","",
"일본","- 연간 국가 상대 소득 빈곤선의 3개월치 이하의 동등액 액면 금융자산[%]","%","13.566","","","","","21.5","","","","",
"일본","- 고용률[%]","%","78.66","79.408","80.418","81.532","82.791","83.463","83.261","83.62","84.372","84.754",
"일본","- 성별 임금 격차[%]","%","25.87099","25.73179","24.60129","24.51809","23.53737","23.48001","22.51857","22.11377","21.34794","22.04214",
"일본","- 장기 실업률[%]","%","1.41468","1.24974","1.29323","1.08333",".82086",".79453",".82977","1.0634",".976","",
"일본","- 취업, 교육 또는 훈련을 받지 않는 청소년[%]","%","6.71438","","6.74438","6.57785","5.24126","5.68562","","6.40478","6.16855","",
"일본","- 노동 시장 불안정성[%]","%","3.07525","2.93407","2.67939","","","","","","","",
"일본","- 직무 부담[%]","%","","31.16104","","","","","","","","",
"일본","- 연간 평균 총 소득[US$]","US$","40257","40062","40609","40710","41172","41699","41442","42041.31255","41509.20477","",
"일본","- 총 중위 소득의 2/3 미만을 버는 전일제 근로자[%]","%","13.90817","13.46367","12.6548","12.32261","12.1154","11.78713","10.88447","10.661","10.29533","10.39826",
"일본","- 상위 소득 10분위의 전일제 근로자[10분위]","10분위","2.94475","2.93916","2.84602","2.83265","2.81781","2.78461","2.74417","2.70006","2.66832","2.65841",
"일본","- 과밀 주거 가구[%]","%","1.59601","","1.89546","","1.64384","1.50489","1.6488","1.56538","","",
"일본","- 주거 비용 부담[%]","%","77.29076","78.08829","78.61162","78.63418","78.7649","79.2391","79.95935","79.34464","","",
"일본","- 주거 비용 과부담[%]","%","19.69697","","17.16418","","19.17808","16.39344","18.95425","19.04762","","",
"일본","- 시간 여유[시간]","시간","","","14.1","","","","","15.21667","","",
"일본","- 성별 근무 시간 격차[분]","분","","","5.82478","","","","","11","","",
"일본","- 출생 시 기대 수명[년]","년","83.7","83.9","84.1","84.2","84.3","84.4","84.6","84.5","","",
"일본","- 긍정적인 건강 인식[%]","%","","","35.5","","","36.6","","","","",
"일본","- 부정적인 건강 인식[%]","%","","","14.1","","","13.6","","","","",
"일본","- 자살, 알코올, 약물로 인한 사망[명]","명","22.17346","20.88549","19.41209","19.6514","19.29035","18.86361","19.58853","","","",
"일본","- 학생 독서 기술[점수]","점수","","515.95848","","","503.85604","","","","515.85","",
"일본","- 낮은 독서 기술을 가진 학생[%]","%","","","","","6.42172","","","","5.28525","",
"일본","- 독서 점수 상위 10분위[10분위]","10분위","","","","","1.67442","","","","1.64211","",
"일본","- 학생 수학 기술[점수]","점수","","532.43987","","","526.97325","","","","535.58","",
"일본","- 낮은 수학 기술을 가진 학생[%]","%","","","","","6.42172","","","","5.28525","",
"일본","- 수학 점수 상위 10분위[10분위]","10분위","","","","","1.54282","","","","1.59166","",
"일본","- 학생 과학 기술[점수]","점수","","538.39475","","","529.13543","","","","546.63","",
"일본","- 낮은 과학 기술을 가진 학생[%]","%","","","","","6.42172","","","","5.28525","",
"일본","- 과학 점수 상위 10분위[10분위]","10분위","","","","","1.59488","","","","1.57202","",
"일본","- 사회적 지원[%]","%","90.74905","90.74905","90.74905","88.20147","88.20147","88.20147","89.14934","89.14934","87.04616","87.04616",
"일본","- 사회적 지원 부족[%]","%","9.83326","7.62773","9.96303","11.75986","11.24329","12.18196","11.26574","10.3796","10.07204","",
"일본","- 사회적 상호작용에 소요된 시간[시간]","시간","","","1.98333","","","","","1.16667","","",
"일본","- 정부에 의견을 반영할 권리가 있음[%]","%","","","","","","","","28.56303","","",
"일본","- 정부에 의견을 반영할 권리가 없음[%]","%","","","","","","","","35.06508","","",
"일본","- 투표율[%]","%","52.66","","","53.68","","","","55.97","","",
"일본","- 공기 오염에 노출[%]","%","99.77","99.77","99.77","99.77","99.77","99.77","99.77","","","",
"일본","- 살인사건[명]","명",".3",".2",".2",".2",".2",".2",".2","","","",
"일본","- 밤에 안전하다고 느끼는 정도[%]","%","73.04271","73.04271","73.04271","77.18741","77.18741","77.18741","78.43983","78.43983","80.29528","80.29528",
"일본","- 밤에 안전하지 않다고 느끼는 정도[%]","%","27.11705","26.52196","24.44839","22.30125","20.6303","23.0655","20.71908","21.15504","18.2421","",
"일본","- 교통사고 사망[명]","명","3.80696","3.84358","3.70117","3.49707","3.29477","3.10699","2.70795","2.55374","2.57389","",
"일본","- 삶의 만족도[척도]","척도","","","","","","5.78","5.83","5.74","5.76","5.79",
"일본","- 삶의 만족도 점수 5 이하[%]","%","","","","","","24.71","23.95","25.58","25.06","24.79",
"일본","- 삶의 만족도 점수 상위 5분위[5분위]","5분위","","","","","","4.37824","4.27919","4.31795","4.55376","",
"일본","- 부정적인 감정 균형[%]","%","9.0612","9.0612","9.0612","8.38419","8.38419","8.38419","8.49825","8.49825","8.86376","8.86376",
"튀르키예","- 평균 가계 가처분소득 상위 5분위[5분위]","5분위","7.7","7.8","","7.7","7.5","8.2","7.8","8.4","","",
"튀르키예","- 상대적 소득 빈곤선 이하의 가계 가처분소득[%]","%","17.3","17.2","","14.4","14.4","15","14.7","14","","",
"튀르키예","- 생계 유지를 위한 어려움[%]","%","43.7","45.1","33.1","16.2","13.6","","22","29.9","","",
"튀르키예","- 고용률[%]","%","54.336","54.931","55.497","56.479","56.747","54.991","52.508","55.149","57.623","58.096",
"튀르키예","- 성별 임금 격차[%]","%","6.88259","","","","9.98081","","","","","",
"튀르키예","- 장기 실업률[%]","%","2.0839","2.22324","2.28779","2.43817","2.50534","3.2928","3.36218","3.81037","2.55255","",
"튀르키예","- 취업, 교육 또는 훈련을 받지 않는 청소년[%]","%","28.11698","25.38001","25.07764","23.64624","22.92176","24.94742","","24.70151","24.99556","",
"튀르키예","- 노동 시장 불안정성[%]","%","11.4836","11.55995","12.97181","","","","","","","",
"튀르키예","- 직무 부담[%]","%","","42.93609","","","","","","","","",
"튀르키예","- 장시간의 유급 근무[%]","%","39.32","36.85","33.8","32.64","29.82","27.63","25.05","27.47","25.36","",
"튀르키예","- 연간 평균 총 소득[US$]","US$","26127","26786","30081","29515","30041","31927","31761","","","",
"튀르키예","- 총 중위 소득의 2/3 미만을 버는 전일제 근로자[%]","%",".77412","","","",".96424","","","","","",
"튀르키예","- 상위 소득 10분위의 전일제 근로자[10분위]","10분위","3.52821","","","","3.36338","","","","","",
"튀르키예","- 과밀 주거 가구[%]","%","29.66928","28.66793","27.43134","26.83211","25.54315","24.38318","23.84287","","","",
"튀르키예","- 주거 비용 부담[%]","%","80.09623","80.4306","80.99942","81.06188","","","","","","",
"튀르키예","- 주거 비용 과부담[%]","%","16.81396","17.66634","15.81805","16.65116","16.35767","14.19995","14.93886","","","",
"튀르키예","- 기본 위생시설에 접근하지 못하는 저소득 가구[%]","%","21.49682","19.37505","15.78832","14.91522","14.64749","12.03689","10.43776","","","",
"튀르키예","- 가정 내 인터넷 접속 여부[%]","%","57.2349","67.7782","73.0548","78.3229","82.4887","87.9055","89.8608","91.9526","","",
"튀르키예","- 시간 여유[시간]","시간","14.60851","","","","","","","","","",
"튀르키예","- 장기 무급 근무 시간[%]","%","7.5","","","","","","","","","",
"튀르키예","- 성별 근무 시간 격차[분]","분","9.6767","","","","","","","","","",
"튀르키예","- 출생 시 기대 수명[년]","년","78","78","78","78.1","78.3","78.6","","","","",
"튀르키예","- 긍정적인 건강 인식[%]","%","68.1","66.4","69.4","68.8","67.6","66.9","69.4","67.8","","",
"튀르키예","- 부정적인 건강 인식[%]","%","11.8","12","9.3","9.4","9.9","10.4","8.5","8.4","","",
"튀르키예","- 자살, 알코올, 약물로 인한 사망[명]","명","6.89504","6.64355","7.41196","8.34518","8.38877","8.64807","","","","",
"튀르키예","- 자가보고 우울증[%]","%","6.8","","","","","6.6","","","","",
"튀르키예","- 학생 독서 기술[점수]","점수","","428.33509","","","465.63167","","","","456.08","",
"튀르키예","- 낮은 독서 기술을 가진 학생[%]","%","","","","","17.10529","","","","18.46499","",
"튀르키예","- 독서 점수 상위 10분위[10분위]","10분위","","","","","1.65562","","","","1.66455","",
"튀르키예","- 학생 수학 기술[점수]","점수","","420.45398","","","453.50778","","","","453.15","",
"튀르키예","- 낮은 수학 기술을 가진 학생[%]","%","","","","","17.10529","","","","18.46499","",
"튀르키예","- 수학 점수 상위 10분위[10분위]","10분위","","","","","1.66578","","","","1.69127","",
"튀르키예","- 학생 과학 기술[점수]","점수","","425.48951","","","468.29962","","","","475.94","",
"튀르키예","- 낮은 과학 기술을 가진 학생[%]","%","","","","","17.10529","","","","18.46499","",
"튀르키예","- 과학 점수 상위 10분위[10분위]","10분위","","","","","1.60274","","","","1.64881","",
"튀르키예","- 성인 수리력 기술[점수]","점수","219.43004","","","","","","","","","",
"튀르키예","- 낮은 수리력 기술을 가진 성인[%]","%","11.18934","","","","","","","","","",
"튀르키예","- 성인 수리력 점수 상위 10분위[10분위]","10분위","1.98312","","","","","","","","","",
"튀르키예","- 성인 문해력 기술[점수]","점수","226.54404","","","","","","","","","",
"튀르키예","- 낮은 문해력 기술을 가진 성인[%]","%","6.72271","","","","","","","","","",
"튀르키예","- 성인 문해력 점수 상위 10분위[10분위]","10분위","1.66887","","","","","","","","","",
"튀르키예","- 사회적 지원[%]","%","86.48358","86.48358","86.48358","83.83838","83.83838","83.83838","79.64626","79.64626","84.47178","84.47178",
"튀르키예","- 사회적 지원 부족[%]","%","13.63416","14.61119","11.89445","12.16256","15.18262","20.66718","14.16758","26.35705","","",
"튀르키예","- 사회적 상호작용에 소요된 시간[시간]","시간","8.17228","","","","","","","","","",
"튀르키예","- 정부에 의견을 반영할 권리가 있음[%]","%","22.18373","","","","","","","","","",
"튀르키예","- 정부에 의견을 반영할 권리가 없음[%]","%","47.99837","","","","","","","","","",
"튀르키예","- 투표율[%]","%","74.13","85.23","","","86.22","","","","","87.05",
"튀르키예","- 공기 오염에 노출[%]","%","99.88","99.88","99.88","99.88","99.88","99.88","99.88","","","",
"튀르키예","- 살인사건[명]","명","1.6","1.4","1.8","","","1","","","","",
"튀르키예","- 밤에 안전하다고 느끼는 정도[%]","%","62.28484","62.28484","62.28484","60.8","60.8","60.8","57.96524","57.96524","63.41639","63.41639",
"튀르키예","- 밤에 안전하지 않다고 느끼는 정도[%]","%","37.53564","37.36792","35.1968","39.07796","40.74153","34.81317","38.56015","43.6718","","",
"튀르키예","- 삶의 만족도[척도]","척도","","","","","5.7","","","5.6","5.4","",
"튀르키예","- 부정적인 감정 균형[%]","%","32.59018","32.59018","32.59018","27.42756","27.42756","27.42756","41.61736","41.61736","32.11367","32.11367",
"캐나다","- 가계 및 비영리단체 1인당 순조정가처분소득[US$]","US$","35520","36292","35879","36739","36909","37277","39204","39582","39065","",
"캐나다","- 평균 가계 가처분소득 상위 5분위[5분위]","5분위","5.2","5.4","5","5.1","4.9","4.8","4.2","4.6","","",
"캐나다","- 중위 순자산[US$]","US$","","","226878","","","226198","","","","",
"캐나다","- 자산 상위 10분위[%]","%","","","51.07171","","","51.38186","","","","",
"캐나다","- 상대적 소득 빈곤선 이하의 가계 가처분소득[%]","%","12.6","14.1","12.4","12","11.8","11.5","8.6","10.5","","",
"캐나다","- 생계 유지를 위한 어려움[%]","%","","","","","21.9","","","20.4","","",
"캐나다","- 연간 국가 상대 소득 빈곤선의 3개월치 이하의 동등액 액면 금융자산[%]","%","","","33","","","42","","","","",
"캐나다","- 고용률[%]","%","76.134","76.284","76.281","77.067","77.685","78.199","74.67","77.463","79.328","79.816",
"캐나다","- 성별 임금 격차[%]","%","17.58242","18.65385","18.19213","18.7558","18.44322","18.64646","17.57291","16.66667","17.14286","16.13636",
"캐나다","- 장기 실업률[%]","%",".87962",".78412",".81687",".73919",".57839",".49116",".51051","1.20001",".57006","",
"캐나다","- 취업, 교육 또는 훈련을 받지 않는 청소년[%]","%","11.18061","10.89888","10.88142","9.83945","10.0069","9.46596","11.7529","11.34736","9.59211","",
"캐나다","- 노동 시장 불안정성[%]","%","3.82505","3.87652","3.79642","","","","","","","",
"캐나다","- 장시간의 유급 근무[%]","%","4","3.93","3.8","3.78","3.66","3.51","3.32","3.62","3.65","",
"캐나다","- 연간 평균 총 소득[US$]","US$","54995","55400","54350","55122","56083","56370","59160","59568.78279","59050.40728","",
"캐나다","- 총 중위 소득의 2/3 미만을 버는 전일제 근로자[%]","%","22.44543","22.18035","22.34282","22.01078","20.6793","19.37748","18.67431","19.54363","19.11983","19.15872",
"캐나다","- 상위 소득 10분위의 전일제 근로자[10분위]","10분위","3.70563","3.79083","3.7112","3.63462","3.46486","3.37404","3.36533","3.30175","3.28925","3.34435",
"캐나다","- 주거 비용 부담[%]","%","77.7421","77.80392","77.26963","77.50361","77.38384","77.25162","78.10335","77.74955","77.55322","",
"캐나다","- 주거 비용 과부담[%]","%","18.98305","21.46721","20.30981","21.3866","20.25398","19.77541","","","","",
"캐나다","- 가정 내 인터넷 접속 여부[%]","%","81.3","83.9","84.1","85.4","88.2","88.5","87.2","91.2","","",
"캐나다","- 시간 여유[시간]","시간","","14.56975","","","","","","","","",
"캐나다","- 장기 무급 근무 시간[%]","%","","12.11522","","","","","","","","",
"캐나다","- 성별 근무 시간 격차[분]","분","","3.67401","","","","","","","","",
"캐나다","- 시간 사용에 대한 만족도[척도]","척도","","","6.8","","","","","7.9","7.8","",
"캐나다","- 시간 사용에 대한 만족도 점수 5 이하[%]","%","","","","","","","","6.2","6.7","",
"캐나다","- 시간 사용에 대한 만족도 상위 5분위[5분위]","5분위","","","","","","","","2.1978","2.5641","",
"캐나다","- 출생 시 기대 수명[년]","년","81.9","81.9","82","81.9","81.9","82.3","81.7","81.6","","",
"캐나다","- 긍정적인 건강 인식[%]","%","88.1","89","88.4","88.5","88.6","88.8","89","88.3","","",
"캐나다","- 부정적인 건강 인식[%]","%","3.1","3.1","3.1","3.2","2.9","2.8","2.8","2.8","","",
"캐나다","- 자살, 알코올, 약물로 인한 사망[명]","명","20.1704","20.36811","19.97225","22.70511","19.97496","20.09957","","","","",
"캐나다","- 학생 독서 기술[점수]","점수","","526.66781","","","520.08552","","","","507.13","",
"캐나다","- 낮은 독서 기술을 가진 학생[%]","%","","","","","6.37344","","","","8.11849","",
"캐나다","- 독서 점수 상위 10분위[10분위]","10분위","","","","","1.66771","","","","1.76091","",
"캐나다","- 학생 수학 기술[점수]","점수","","515.64743","","","512.01694","","","","496.95","",
"캐나다","- 낮은 수학 기술을 가진 학생[%]","%","","","","","6.37344","","","","8.11849","",
"캐나다","- 수학 점수 상위 10분위[10분위]","10분위","","","","","1.60583","","","","1.64935","",
"캐나다","- 학생 과학 기술[점수]","점수","","527.70468","","","517.99766","","","","515.02","",
"캐나다","- 낮은 과학 기술을 가진 학생[%]","%","","","","","6.37344","","","","8.11849","",
"캐나다","- 과학 점수 상위 10분위[10분위]","10분위","","","","","1.62908","","","","1.67803","",
"캐나다","- 사회적 지원[%]","%","92.70986","92.70986","92.70986","92.72573","92.72573","92.72573","92.83436","92.83436","91.57872","91.57872",
"캐나다","- 사회적 지원 부족[%]","%","8.19159","6.09073","7.55236","6.59521","7.68303","7.46671","6.93566","7.37417","7.07711","",
"캐나다","- 사회적 상호작용에 소요된 시간[시간]","시간","","6.27115","","","","","","","","",
"캐나다","- 개인 관계에 대한 만족도[척도]","척도","","","7.9","","","","","7.7","","",
"캐나다","- 개인 관계에 대한 만족도 점수 5 이하[%]","%","","","5.7","","","","","8.2","","",
"캐나다","- 개인 관계 만족도 상위 5분위[5분위]","5분위","","","2.17391","","","","","2.72818","","",
"캐나다","- 정부에 의견을 반영할 권리가 있음[%]","%","","","","","","","","37.28168","","",
"캐나다","- 정부에 의견을 반영할 권리가 없음[%]","%","","","","","","","","42.55977","","",
"캐나다","- 투표율[%]","%","","68.28","","","","67.65","","62.25","","",
"캐나다","- 공기 오염에 노출[%]","%","95.16","94.19","82.18","93.19","92.4","79.14","84.7","","","",
